         19712 function calls (18393 primitive calls) in 0.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     34/8    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/visitor.py:61(generic_visit)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:538(pull_dependencies)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:184(find)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/idtracking.py:46(analyze_node)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:142(find_undeclared)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/__init__.py:746(create_time)
       10    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/flask/templating.py:101(_iter_loaders)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/_psosx.py:478(create_time)
       88    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:127(__init__)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/idtracking.py:178(_simple_visit)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/_psosx.py:374(_get_kinfo_proc)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:229(set_environment)
        1    0.000    0.000    0.001    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/flask/sansio/scaffold.py:273(jinja_loader)
       96    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:467(writeline)
        2    0.001    0.000    0.001    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
        5    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/loaders.py:179(__init__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/posixpath.py:334(normpath)
      305    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/visitor.py:28(get_visitor)
        8    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/app.py:650(url_for)
       75    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
       36    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:596(_normalize_newlines)
       27    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      195    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:453(write)
        9    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py:536(_compile_info)
       27    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:1431(_output_child_to_const)
    94/27    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:174(getwidth)
        8    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:1840(visit_Call)
     1336    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/flask/sansio/app.py:471(jinja_env)
